id,title,status,meal_type,categories,default_servings,scaling_model,prep_minutes,cook_minutes,total_minutes,difficulty,effort,patrol_fit,equipment,protein_tags,food_safety_flags
chili-mac,Chili Mac,exact_quantities,dinner,chili; pasta,6,linear_batch,10,45,55,3,medium,good,Cooking pot; Cutting board; Dutch oven; Knife; Ladle,varies/unknown,
cowboy-stew,Cowboy Stew,planning_estimate,dinner,stew,8,linear_batch,10,45,55,2,low,excellent,Camp stove; Cooking pot; Cutting board; Knife; Ladle; One Pot,varies/unknown,
dessert-burritos,Dessert Burritos,planning_estimate,dessert,burrito,12,linear_batch,10,25,35,2,low,good,Camp stove; Cutting board; Knife; Serving spoon; Skillet,varies/unknown,
dutch-oven-pies,Dutch Oven Pies,planning_estimate,dessert,dutch_oven,12,linear_batch,15,40,55,4,high,adult_or_experienced_scout,Charcoal/chimney; Cutting board; Dutch oven; Knife,varies/unknown,
dutch-oven-pizza,Dutch Oven Pizza,planning_estimate,dinner,dutch_oven; pizza,8,linear_batch,10,40,50,4,high,adult_or_experienced_scout,Charcoal/chimney; Cutting board; Dutch oven; Knife,varies/unknown,
monkey-bread,Monkey Bread,planning_estimate,dessert,camp_meal,12,linear_batch,15,35,50,3,medium,good,Cutting board; Dutch oven; Knife,varies/unknown,
pancakes,Pancakes,planning_estimate,breakfast,camp_meal,8,linear_batch,15,35,50,1,very_low,excellent,Camp stove; Cutting board; Knife; Skillet; Spatula,varies/unknown,
pecs-breakfast,PECS Breakfast,planning_estimate,breakfast,breakfast,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife,varies/unknown,
pie-iron-pies,Pie Iron Pies,planning_estimate,dessert,pie_iron,12,linear_batch,15,35,50,2,low,good,Campfire; Cutting board; Knife; Pie iron,varies/unknown,
pizza-for-breakfast,Pizza for Breakfast,planning_estimate,breakfast,breakfast; pizza,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife,varies/unknown,
pocket-pizza,Pocket Pizza,planning_estimate,dinner,pizza,8,linear_batch,10,25,35,2,low,excellent,Campfire; Cutting board; Knife; Pie iron,varies/unknown,
simple-breakfast-burritos,Simple Breakfast Burritos,planning_estimate,breakfast,breakfast; burrito,8,linear_batch,15,25,40,1,very_low,excellent,Camp stove; Cutting board; Knife; Serving spoon; Skillet,varies/unknown,
taco-in-a-bag,Taco in a Bag,planning_estimate,lunch,taco,1,per_person,10,10,20,1,very_low,excellent,Bag Meal; Camp stove; Cutting board; Knife; Serving spoon; Skillet,varies/unknown,
train-wreck,Train Wreck,planning_estimate,dinner,camp_meal,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife,varies/unknown,
2-hour-chili,2 hour Chili,planning_estimate,dinner,chili,8,linear_batch,15,120,135,2,low,excellent,Camp stove; Cooking pot; Cutting board; Knife; Ladle; One Pot,varies/unknown,
30-minute-stew,30 Minute Stew,planning_estimate,dinner,stew,8,linear_batch,10,30,40,1,very_low,excellent,Camp stove; Cooking pot; Cutting board; Knife; Ladle; One Pot,varies/unknown,
5-alarm-chili,5 Alarm Chili,planning_estimate,dinner,chili,8,linear_batch,10,45,55,3,medium,good,Camp stove; Cooking pot; Cutting board; Knife; Ladle; One Pot,varies/unknown,
a-w-chili-dogs,A&W Chili Dogs,planning_estimate,lunch,chili,8,linear_batch,10,45,55,1,very_low,excellent,Camp stove; Cooking pot; Cutting board; Knife; Ladle; One Pot,varies/unknown,
apple-crisp,Apple Crisp,planning_estimate,dessert,camp_meal,12,linear_batch,10,25,35,2,low,good,Camp stove; Cutting board; Knife,varies/unknown,
apple-fluff,Apple Fluff,planning_estimate,dessert,camp_meal,12,linear_batch,10,25,35,2,low,good,Camp stove; Cutting board; Knife,varies/unknown,
armadillo-eggs,Armadillo Eggs,planning_estimate,breakfast,camp_meal,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife; Skillet; Spatula,eggs,
au-gratin-ham-and-potatoes,Au Gratin Ham and Potatoes,planning_estimate,dinner,camp_meal,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife,pork,
bacon-chicken-nuggets,Bacon Chicken Nuggets,planning_estimate,dinner,chicken,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cooler; Cutting board; Food thermometer; Knife,chicken; pork,raw_poultry; raw_or_perishable_protein
bacon-spuds,Bacon Spuds,planning_estimate,dinner,camp_meal,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cooler; Cutting board; Food thermometer; Knife,pork,raw_or_perishable_protein
baked-beans,Baked Beans,planning_estimate,dinner,camp_meal,8,linear_batch,10,25,35,3,medium,good,Bake; Cutting board; Dutch oven; Knife,beans/legumes,
baked-salmon,Baked Salmon,planning_estimate,dinner,fish,8,linear_batch,10,25,35,3,medium,good,Bake; Cooler; Cutting board; Dutch oven; Food thermometer; Knife,fish,raw_or_perishable_protein
baking-powder-biscuits,Baking Powder Biscuits,planning_estimate,dinner,camp_meal,8,linear_batch,10,25,35,2,low,excellent,Camp stove; Cutting board; Knife,varies/unknown,
